2022,AUG,STATE,13,5,163000000
2022,AUG,STATE,16,5,1449000000
2022,AUG,STATE,17,5,138000000
2022,AUG,STATE,18,5,363000000
2022,AUG,STATE,19,5,493000000
2022,AUG,STATE,20,5,348000000
2022,AUG,STATE,26,5,993000000
2022,AUG,STATE,27,5,899000000
2022,AUG,STATE,35,5,588000000
2022,AUG,STATE,36,5,1329000000
2022,AUG,STATE,39,5,465000000
2022,AUG,STATE,41,5,220000000
2022,AUG,STATE,42,5,821000000
2022,AUG,STATE,46,5,368000000
2022,AUG,STATE,48,5,1385000000
2022,AUG,STATE,49,5,186000000
2022,AUG,STATE,50,5,214000000
2022,AUG,STATE,51,5,116000000
2022,AUG,STATE,53,5,519000000
2022,AUG,STATE,55,5,2728000000
2022,DEC,STATE,4,5,407000000
2022,DEC,STATE,6,5,3482000000
2022,DEC,STATE,8,5,443000000
2022,DEC,STATE,12,5,157000000
2022,DEC,STATE,13,5,175000000
2022,DEC,STATE,16,5,1378000000
2022,DEC,STATE,17,5,142000000
2022,DEC,STATE,18,5,374000000
2022,DEC,STATE,19,5,494000000
2022,DEC,STATE,20,5,352000000
2022,DEC,STATE,26,5,996000000
2022,DEC,STATE,27,5,883000000
2022,DEC,STATE,35,5,575000000
2022,DEC,STATE,36,5,1317000000
2022,DEC,STATE,39,5,466000000
2022,DEC,STATE,41,5,212000000
2022,DEC,STATE,42,5,828000000
2022,DEC,STATE,46,5,355000000
2022,DEC,STATE,48,5,1388000000
2022,DEC,STATE,49,5,177000000
2022,DEC,STATE,50,5,214000000
2022,DEC,STATE,51,5,115000000
2022,DEC,STATE,53,5,502000000
2022,DEC,STATE,55,5,2661000000
2022,FEB,STATE,4,5,394000000
2022,FEB,STATE,6,5,3311000000
2022,FEB,STATE,8,5,402000000
2022,FEB,STATE,12,5,166000000
2022,FEB,STATE,13,5,162000000
2022,FEB,STATE,16,5,1242000000
2022,FEB,STATE,17,5,138000000
2022,FEB,STATE,18,5,342000000
2022,FEB,STATE,19,5,432000000
2022,FEB,STATE,20,5,315000000
2022,FEB,STATE,26,5,899000000
2022,FEB,STATE,27,5,804000000
2022,FEB,STATE,35,5,571000000
2022,FEB,STATE,36,5,1187000000
2022,FEB,STATE,39,5,427000000
2022,FEB,STATE,41,5,206000000
2022,FEB,STATE,42,5,782000000
2022,FEB,STATE,46,5,306000000
2022,FEB,STATE,48,5,1257000000
2022,FEB,STATE,49,5,166000000
2022,FEB,STATE,50,5,198000000
2022,FEB,STATE,51,5,115000000
2022,FEB,STATE,53,5,490000000
2022,FEB,STATE,55,5,2438000000
2022,JAN,STATE,4,5,410000000
2022,JAN,STATE,6,5,3535000000
2022,JAN,STATE,8,5,445000000
2022,JAN,STATE,12,5,185000000
2022,JAN,STATE,13,5,174000000
2022,JAN,STATE,16,5,1366000000
2022,JAN,STATE,17,5,149000000
2022,JAN,STATE,18,5,375000000
2022,JAN,STATE,19,5,471000000
2022,JAN,STATE,20,5,346000000
2022,JAN,STATE,26,5,983000000
2022,JAN,STATE,27,5,882000000
2022,JAN,STATE,35,5,634000000
2022,JAN,STATE,36,5,1296000000
2022,JAN,STATE,39,5,463000000
2022,JAN,STATE,41,5,219000000
2022,JAN,STATE,42,5,847000000
2022,JAN,STATE,46,5,330000000
2022,JAN,STATE,48,5,1378000000
2022,JAN,STATE,49,5,182000000
2022,JAN,STATE,50,5,216000000
2022,JAN,STATE,51,5,125000000
2022,JAN,STATE,53,5,527000000
2022,JAN,STATE,55,5,2667000000
2022,JUL,STATE,4,5,375000000
2022,JUL,STATE,6,5,3521000000
2022,JUL,STATE,8,5,457000000
2022,JUL,STATE,12,5,154000000
2022,JUL,STATE,13,5,167000000
2022,JUL,STATE,16,5,1462000000
2022,JUL,STATE,17,5,142000000
2022,JUL,STATE,18,5,366000000
2022,JUL,STATE,19,5,491000000
2022,JUL,STATE,20,5,348000000
2022,JUL,STATE,26,5,997000000
